85, 31, 0, Bask, Pyr, GABA
86, 31, 0, Bask, Pyr, GABA
87, 31, 0, Bask, Pyr, GABA
88, 31, 0, Bask, Pyr, GABA
89, 31, 0, Bask, Pyr, GABA
90, 31, 0, Bask, Pyr, GABA
91, 31, 0, Bask, Pyr, GABA
92, 31, 0, Bask, Pyr, GABA
93, 31, 0, Bask, Pyr, GABA
94, 31, 0, Bask, Pyr, GABA
95, 31, 0, Bask, Pyr, GABA
96, 31, 0, Bask, Pyr, GABA
97, 31, 0, Bask, Pyr, GABA
98, 31, 0, Bask, Pyr, GABA
99, 31, 0, Bask, Pyr, GABA
100, 31, 0, Bask, Pyr, GABA
81, 32, 0, Bask, Pyr, GABA
82, 32, 0, Bask, Pyr, GABA
83, 32, 0, Bask, Pyr, GABA
84, 32, 0, Bask, Pyr, GABA
85, 32, 0, Bask, Pyr, GABA
86, 32, 0, Bask, Pyr, GABA
87, 32, 0, Bask, Pyr, GABA
88, 32, 0, Bask, Pyr, GABA
89, 32, 0, Bask, Pyr, GABA
90, 32, 0, Bask, Pyr, GABA
91, 32, 0, Bask, Pyr, GABA
92, 32, 0, Bask, Pyr, GABA
93, 32, 0, Bask, Pyr, GABA
94, 32, 0, Bask, Pyr, GABA
95, 32, 0, Bask, Pyr, GABA
96, 32, 0, Bask, Pyr, GABA
97, 32, 0, Bask, Pyr, GABA
98, 32, 0, Bask, Pyr, GABA
99, 32, 0, Bask, Pyr, GABA
100, 32, 0, Bask, Pyr, GABA
81, 33, 0, Bask, Pyr, GABA
82, 33, 0, Bask, Pyr, GABA
83, 33, 0, Bask, Pyr, GABA
84, 33, 0, Bask, Pyr, GABA
85, 33, 0, Bask, Pyr, GABA
86, 33, 0, Bask, Pyr, GABA
